Player,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Level
David Stockton,25.5,3.0,2.0,1.0,21.200000000000003,9.0,2.0,4.5,50.0,1.5,2.5,58.35,3.5,5.0,75.0,0.0,1.0,1.0,4.5,2.5,1.0,0.0,2.0,17.5,0.0,0.0,6.0,Faible
David Wear,24.0,2.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,-9.0,
David West,34.5,73.0,50.0,23.0,1676.6333333333332,750.3333333333334,313.0,618.6666666666666,51.81666666666666,3.5,12.833333333333334,30.95,120.83333333333331,157.0,76.85000000000001,92.66666666666669,291.3333333333333,384.0,181.83333333333331,106.0,52.66666666666666,61.5,143.66666666666666,1720.3333333333333,5.333333333333333,0.1666666666666666,206.66666666666663,Moyen
Davion Mitchell,23.5,77.5,37.5,40.0,1761.4,655.5,266.5,621.0,43.6,82.0,258.5,31.8,40.5,58.0,73.25,24.5,111.0,135.5,249.0,88.0,49.5,19.5,126.5,1311.0,1.5,0.0,-137.0,Moyen
Davis Bertans,27.0,61.71428571428572,34.142857142857146,27.571428571428573,1124.3285714285714,481.57142857142856,156.28571428571428,368.0,42.271428571428565,115.57142857142856,290.57142857142856,39.21428571428572,53.42857142857143,62.142857142857146,85.88571428571429,19.714285714285715,137.14285714285714,156.85714285714286,59.0,33.142857142857146,25.571428571428573,22.142857142857142,102.0,868.4285714285714,0.1428571428571428,0.0,78.85714285714286,Moyen
Davon Reed,25.5,30.5,16.0,14.5,324.875,93.25,34.0,83.25,38.55,16.75,43.5,39.725,8.5,12.75,50.025000000000006,7.0,46.0,53.0,23.0,11.75,12.5,3.75,30.5,228.25,0.0,0.0,-45.25,Faible
Day'Ron Sharpe,20.5,40.0,17.0,23.0,471.6,212.5,89.5,160.0,56.05,4.0,9.0,41.55,29.5,48.0,61.05,90.0,90.0,180.0,27.0,36.0,12.5,23.5,74.5,541.5,2.0,0.0,-22.0,Moyen
De'Aaron Fox,22.5,65.83333333333333,28.83333333333333,37.0,2126.75,1329.0,491.8333333333333,1041.1666666666667,46.86666666666667,80.5,251.0,31.88333333333333,264.8333333333333,359.8333333333333,73.39999999999999,34.833333333333336,205.83333333333331,240.66666666666663,408.6666666666667,180.16666666666663,85.83333333333333,27.5,171.0,2390.6666666666665,9.166666666666666,0.1666666666666666,-113.0,Moyen
De'Andre Hunter,23.5,51.5,23.5,28.0,1599.625,715.0,258.25,582.0,44.925,78.25,220.0,35.25,120.25,150.5,80.35,33.25,180.75,214.0,79.5,70.75,33.5,17.0,148.75,1171.75,1.75,0.0,-41.75,Moyen
De'Anthony Melton,23.0,62.4,33.2,29.2,1400.6,549.6,198.2,479.2,41.18,90.4,244.2,35.34,62.8,81.4,77.32000000000001,46.2,184.8,231.0,171.4,87.8,87.0,30.8,125.2,1349.6,0.6,0.0,78.4,Moyen
DeAndre Jordan,29.0,68.18181818181819,40.72727272727273,27.454545454545453,1911.5636363636363,683.2727272727273,275.45454545454544,403.6363636363636,68.80909090909091,0.1818181818181818,0.8181818181818182,11.363636363636363,132.1818181818182,274.1818181818182,50.87272727272728,222.72727272727272,562.1818181818181,784.9090909090909,79.54545454545455,98.9090909090909,41.0,102.45454545454544,169.27272727272728,2076.0,27.272727272727277,0.0,144.63636363636363,Moyen
DeAndre Liggins,27.5,40.0,26.25,13.75,447.9,78.25,29.25,74.0,55.275000000000006,10.75,29.5,27.4,9.0,15.75,38.125,10.25,49.0,59.25,29.25,19.0,25.5,7.75,48.75,274.0,0.0,0.0,-46.25,Faible
DeAndre' Bembry,24.5,49.333333333333336,20.166666666666668,29.166666666666668,945.0833333333334,291.6666666666667,120.0,253.16666666666663,47.833333333333336,17.666666666666668,62.5,27.066666666666663,34.0,55.66666666666666,56.91666666666666,30.83333333333333,127.5,158.33333333333334,88.83333333333333,61.16666666666666,48.5,20.0,88.83333333333333,759.5,0.8333333333333334,0.0,-104.66666666666669,Moyen
DeJon Jarreau,24.0,1.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
DeJuan Blair,25.5,49.25,29.25,20.0,615.825,235.5,101.5,197.25,48.15,0.0,1.0,0.0,32.5,52.5,57.925,60.25,117.5,177.75,32.25,38.5,28.0,8.5,99.5,568.5,0.75,0.0,-31.75,Moyen
DeMar DeRozan,28.0,73.54545454545455,41.36363636363637,32.18181818181818,2613.7363636363634,1687.1818181818182,601.3636363636364,1280.2727272727273,47.00909090909091,38.45454545454545,127.8181818181818,28.472727272727276,446.0,527.0909090909091,84.61818181818181,51.0,296.3636363636364,347.3636363636364,343.3636363636364,164.54545454545453,76.54545454545455,22.727272727272727,163.0,2752.2727272727275,5.2727272727272725,0.0909090909090909,81.36363636363636,Moyen
DeMarcus Cousins,26.22222222222222,56.55555555555556,26.77777777777778,29.77777777777778,1694.377777777778,1166.5555555555557,409.1111111111111,880.1111111111111,46.3,46.77777777777778,139.55555555555554,26.72222222222222,301.55555555555554,404.0,74.51111111111112,134.44444444444446,450.22222222222223,584.6666666666666,185.88888888888889,190.11111111111111,77.33333333333333,66.55555555555556,203.55555555555557,2388.6666666666665,31.666666666666668,1.0,-13.555555555555555,Moyen
DeMarre Carroll,29.5,58.875,31.875,27.0,1560.0875,603.0,208.875,483.125,42.425,81.375,226.75,34.112500000000004,103.875,139.625,72.6875,71.5,208.875,280.375,83.875,57.875,60.375,17.5,122.25,1241.0,3.0,0.0,70.625,Moyen
DeQuan Jones,23.0,63.0,14.0,49.0,803.0,233.0,95.0,218.0,43.6,9.0,35.0,25.7,34.0,51.0,66.7,17.0,88.0,105.0,16.0,30.0,19.0,22.0,55.0,476.0,0.0,0.0,-179.0,Moyen
DeSagana Diop,31.0,22.0,3.0,19.0,226.0,16.0,8.0,27.0,29.6,0.0,1.0,0.0,0.0,1.0,0.0,10.0,41.0,51.0,13.0,8.0,5.0,16.0,19.0,152.0,0.0,0.0,-26.0,Faible
DeShawn Stevenson,32.0,56.0,30.0,26.0,1157.8,284.0,98.0,262.0,37.4,76.0,209.0,36.4,12.0,23.0,52.2,18.0,104.0,122.0,52.0,23.0,29.0,6.0,69.0,590.0,0.0,0.0,-54.0,Moyen
DeVaughn Akoon-Purcell,26.0,7.0,7.0,0.0,21.6,7.0,3.0,10.0,30.0,0.0,4.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,6.0,2.0,2.0,0.0,4.0,25.0,0.0,0.0,1.0,Faible
Dean Wade,24.5,42.5,19.25,23.25,788.825,217.75,78.75,179.5,49.775000000000006,44.0,121.5,39.475,16.25,23.25,52.2,23.0,110.5,133.5,41.25,16.5,23.5,13.25,65.75,533.75,0.5,0.0,-21.5,Moyen
Deandre Ayton,22.0,60.6,33.4,27.2,1856.3,1009.2,442.6,741.8,59.6,4.2,16.0,21.82,119.8,158.6,75.47999999999999,183.8,446.6,630.4,99.0,104.0,41.0,59.8,170.8,2112.6,32.2,0.0,65.2,Moyen
Deividas Sirvydis,21.5,11.5,4.5,7.0,79.85,22.0,7.5,25.0,22.5,5.5,17.5,25.0,1.5,3.0,25.0,0.0,17.5,17.5,3.0,2.5,2.5,0.5,6.5,54.0,0.0,0.0,-25.5,Faible
Dejounte Murray,23.166666666666668,65.66666666666667,34.166666666666664,31.5,1824.9833333333331,918.0,373.3333333333333,816.0,45.25,58.5,174.66666666666666,33.550000000000004,112.83333333333331,143.83333333333334,77.06666666666666,62.66666666666666,322.1666666666667,384.8333333333333,331.3333333333333,125.66666666666669,94.5,17.166666666666668,117.0,2086.0,12.166666666666666,3.0,6.333333333333333,Moyen
Delon Wright,27.5,57.625,32.875,24.75,1224.7625,415.125,152.25,334.375,45.3,39.625,112.25,35.6,71.0,88.25,80.3125,47.5,139.75,187.25,180.0,55.125,70.75,20.625,63.125,1128.875,1.125,0.375,50.0,Moyen
Demetrius Jackson,23.0,8.666666666666666,6.0,2.6666666666666665,45.5,16.0,6.0,12.333333333333334,55.73333333333333,1.3333333333333333,4.666666666666667,49.2,2.6666666666666665,4.0,66.66666666666667,3.0,3.333333333333333,6.333333333333333,5.666666666666667,3.6666666666666665,2.333333333333333,0.3333333333333333,3.6666666666666665,36.333333333333336,0.0,0.0,-16.0,Faible
Deng Adel,22.0,19.0,4.0,15.0,194.2,32.0,11.0,36.0,30.6,6.0,23.0,26.1,4.0,4.0,100.0,3.0,16.0,19.0,5.0,6.0,1.0,4.0,13.0,71.0,0.0,0.0,-31.0,Faible
Deni Avdija,21.0,70.66666666666667,31.0,39.66666666666666,1753.8,574.6666666666666,211.0,490.0,42.866666666666674,68.0,219.66666666666663,30.96666666666667,84.66666666666667,115.33333333333331,71.33333333333333,49.333333333333336,342.0,391.3333333333333,147.0,81.0,52.0,29.33333333333333,179.66666666666666,1428.0,5.333333333333333,0.0,-65.0,Moyen
Dennis Schroder,24.5,68.7,38.2,30.5,1843.36,963.6,355.7,819.7,42.84,79.5,236.1,32.75,172.7,206.6,82.12,28.7,170.7,199.4,320.5,159.1,56.5,9.2,140.8,1721.6,3.4,0.0,24.8,Moyen
Dennis Smith Jr.,22.5,45.0,15.166666666666666,29.83333333333333,1090.55,465.1666666666667,179.5,445.1666666666667,39.9,39.66666666666666,132.83333333333334,28.28333333333333,66.5,99.66666666666669,66.01666666666667,27.0,106.83333333333331,133.83333333333334,196.33333333333331,94.16666666666669,51.5,16.166666666666668,92.83333333333331,1029.3333333333333,1.6666666666666667,0.5,-149.83333333333334,Moyen
Denzel Valentine,25.6,51.2,21.2,30.0,963.4599999999998,359.0,136.0,345.6,38.64,72.2,200.8,36.16,14.8,18.8,64.28,20.2,151.2,171.4,93.2,45.6,31.8,6.2,82.4,773.0,1.2,0.0,-62.0,Moyen
Deonte Burton,26.666666666666668,24.33333333333333,14.666666666666666,9.666666666666666,200.96666666666667,62.0,25.33333333333333,69.66666666666667,24.866666666666664,6.0,27.0,16.166666666666668,5.333333333333333,8.666666666666666,41.26666666666667,3.6666666666666665,24.666666666666668,28.33333333333333,8.666666666666666,9.333333333333334,4.333333333333333,6.0,21.666666666666668,130.66666666666666,0.0,0.0,-22.666666666666668,Faible
Derek Fisher,38.5,57.0,40.5,16.5,1001.35,300.0,98.0,261.0,36.650000000000006,59.0,154.5,37.95,45.0,54.5,84.8,7.0,72.5,79.5,82.0,39.5,44.5,3.0,106.0,621.5,0.0,0.0,151.0,Moyen
Dereon Seabron,23.0,5.0,2.0,3.0,11.6,4.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,Faible
Deron Williams,31.0,67.8,34.6,33.2,2155.76,978.8,339.8,797.2,42.58,107.2,293.6,36.36,192.0,228.2,83.78,21.2,173.6,194.8,436.4,160.6,64.8,16.4,158.4,1950.0,8.8,0.0,50.0,Moyen
Derrick Favors,25.5,64.7,34.1,30.6,1629.06,725.1,298.3,554.6,54.510000000000005,3.8,19.2,11.75,124.7,185.8,66.17,160.4,316.7,477.1,76.9,81.5,51.0,80.6,158.5,1726.3,13.2,0.0,20.9,Moyen
