,precision,recall,f1-score,support,Groupe
Cleanthony Early,0.0,0.0,0.0,0.0,Faible
Cliff Alexander,0.0,0.0,0.0,1.0,Faible
Clint Capela,0.14285714285714285,1.0,0.25,1.0,Faible
Coby White,0.0,0.0,0.0,2.0,Faible
Cody Martin,0.0,0.0,0.0,2.0,Faible
Cody Zeller,0.3333333333333333,0.25,0.28571428571428575,4.0,Faible
Cole Aldrich,0.0,0.0,0.0,3.0,Faible
Cole Anthony,0.0,0.0,0.0,1.0,Faible
Cole Swider,0.0,0.0,0.0,1.0,Faible
Collin Sexton,0.3333333333333333,0.5,0.4,2.0,Faible
Corey Brewer,0.0,0.0,0.0,2.0,Faible
Corey Kispert,0.0,0.0,0.0,1.0,Faible
Cory Higgins,0.0,0.0,0.0,0.0,Faible
Cory Jefferson,0.0,0.0,0.0,1.0,Faible
Cory Joseph,0.0,0.0,0.0,3.0,Faible
Coty Clarke,0.0,0.0,0.0,1.0,Faible
Courtney Lee,0.25,0.6666666666666666,0.36363636363636365,3.0,Faible
Craig Sword,0.0,0.0,0.0,0.0,Faible
Cristiano Felicio,0.0,0.0,0.0,1.0,Faible
D'Angelo Russell,0.5,0.3333333333333333,0.4,3.0,Faible
D.J. Augustin,0.0,0.0,0.0,5.0,Faible
D.J. Wilson,0.0,0.0,0.0,3.0,Faible
DJ Stephens,0.0,0.0,0.0,0.0,Faible
DJ White,0.0,0.0,0.0,0.0,Faible
DaJuan Summers,0.0,0.0,0.0,0.0,Faible
DaQuan Jeffries,0.0,0.0,0.0,1.0,Faible
Dahntay Jones,0.0,0.0,0.0,1.0,Faible
Dairis Bertans,0.0,0.0,0.0,1.0,Faible
Dakota Mathias,0.0,0.0,0.0,1.0,Faible
Damian Jones,0.0,0.0,0.0,3.0,Faible
Damian Lillard,0.5,0.6666666666666666,0.5714285714285715,3.0,Faible
Damien Inglis,0.0,0.0,0.0,0.0,Faible
Damien Wilkins,0.0,0.0,0.0,0.0,Faible
Damion James,0.0,0.0,0.0,0.0,Faible
Damion Lee,0.0,0.0,0.0,3.0,Faible
Damjan Rudez,0.0,0.0,0.0,1.0,Faible
Damyean Dotson,0.125,1.0,0.2222222222222222,1.0,Faible
Daniel Gafford,0.3333333333333333,0.5,0.4,2.0,Faible
Daniel Hamilton,0.0,0.0,0.0,1.0,Faible
Daniel Orton,0.0,0.0,0.0,1.0,Faible
Daniel Oturu,0.0,0.0,0.0,1.0,Faible
Daniel Theis,0.0,0.0,0.0,1.0,Faible
Danilo Gallinari,0.0,0.0,0.0,5.0,Faible
Danny Granger,0.0,0.0,0.0,0.0,Faible
Danny Green,0.5,0.5,0.5,4.0,Faible
Dante Cunningham,0.0,0.0,0.0,3.0,Faible
Dante Exum,0.0,0.0,0.0,2.0,Faible
Danuel House Jr.,0.0,0.0,0.0,2.0,Faible
Dario Saric,0.0,0.0,0.0,1.0,Faible
Darius Bazley,0.0,0.0,0.0,1.0,Faible
Darius Days,0.0,0.0,0.0,0.0,Faible
Darius Garland,0.5,1.0,0.6666666666666666,2.0,Faible
Darius Johnson-Odom,0.0,0.0,0.0,0.0,Faible
Darius Miller,0.0,0.0,0.0,3.0,Faible
