Player,PTS,Level
Jalen Lecque,7.5,
Jalen McDaniels,382.5,Moyen
Jalen Smith,388.3333333333333,Moyen
Jalen Suggs,544.0,Élevé
Jalen Williams,1056.0,Élevé
Jamaal Franklin,21.0,
Jamaal Tinsley,119.0,Faible
Jamal Cain,98.0,Faible
Jamal Crawford,876.25,Élevé
Jamal Murray,1156.1666666666667,Élevé
Jamaree Bouyea,15.0,
Jameel Warney,17.0,
Jameer Nelson,566.3333333333334,Élevé
Jamel Artis,77.0,Faible
James Anderson,379.3333333333333,Moyen
James Bouknight,166.5,Faible
James Ennis III,328.625,Moyen
James Harden,1990.7272727272727,Élevé
James Johnson,429.1818181818182,Moyen
James Jones,143.4,Faible
James Michael McAdoo,83.5,Faible
James Nunnally,31.666666666666668,
James Southerland,14.0,
James Webb III,16.0,
James White,125.0,Faible
James Wiseman,449.0,Moyen
James Young,54.75,Faible
Jamil Wilson,105.0,Faible
Jamorko Pickett,50.0,Faible
Jan Vesely,161.5,Faible
Jannero Pargo,128.0,Faible
Jared Butler,99.0,Faible
Jared Cunningham,49.25,Faible
Jared Dudley,386.1111111111111,Moyen
Jared Harper,14.0,
Jared Jeffries,44.0,
Jared Rhoden,45.0,
Jared Sullinger,578.6,Élevé
Jared Terrell,31.0,
Jarell Eddie,29.0,
Jarell Martin,249.5,Moyen
Jaren Jackson Jr.,878.2,Élevé
Jarnell Stokes,22.33333333333333,
Jaron Blossomgame,114.0,Faible
Jarred Vanderbilt,302.2,Moyen
Jarrell Brantley,36.66666666666666,
Jarrett Allen,819.0,Élevé
Jarrett Culver,233.5,Moyen
Jarrett Jack,603.8333333333334,Élevé
Jarrod Uthoff,29.5,
Jarron Cumberland,2.0,
Jarvis Varnado,53.5,Faible
Jason Collins,33.0,
Jason Kidd,458.0,Moyen
Jason Maxiell,270.0,Moyen
Jason Preston,41.0,
Jason Richardson,259.5,Moyen
Jason Smith,360.1428571428572,Moyen
Jason Terry,399.0,Moyen
Jason Thompson,528.75,Élevé
Javin DeLaurier,0.0,
Javonte Green,235.5,Moyen
Javonte Smart,51.0,Faible
Jawun Evans,118.5,Faible
Jaxson Hayes,452.0,Moyen
Jay Huff,25.5,
Jay Scrubb,32.333333333333336,
Jaylen Adams,55.0,Faible
Jaylen Brown,1204.0,Élevé
Jaylen Hoard,85.66666666666667,Faible
Jaylen Morris,13.333333333333334,
Jaylen Nowell,416.75,Moyen
Jaylin Williams,288.0,Moyen
Jaysean Paige,0.0,
Jayson Tatum,1644.1666666666667,Élevé
Jeff Adrien,210.33333333333331,Moyen
Jeff Ayres,138.0,Faible
Jeff Dowtin Jr.,40.0,
Jeff Green,851.5454545454545,Élevé
Jeff Teague,960.1111111111112,Élevé
Jeff Withey,133.2,Faible
Jeffery Taylor,269.0,Moyen
Jemerrio Jones,15.5,
Jerami Grant,846.5555555555555,Élevé
Jerel McNeal,9.0,
Jeremiah Martin,43.0,
Jeremiah Robinson-Earl,329.0,Moyen
Jeremy Evans,127.8,Faible
Jeremy Lamb,580.5,Élevé
Jeremy Lin,711.2857142857143,Élevé
Jeremy Pargo,145.0,Faible
Jeremy Sochan,614.0,Élevé
Jeremy Tyler,84.0,Faible
Jerian Grant,338.4,Moyen
Jericho Sims,134.0,Faible
Jermaine O'Neal,401.5,Moyen
Jerome Jordan,138.0,Faible
Jerome Robinson,171.33333333333334,Faible
Jerrelle Benimon,0.0,
Jerry Stackhouse,182.0,Faible
Jerryd Bayless,435.2857142857143,Moyen
Jevon Carter,327.0,Moyen
Jimmer Fredette,195.2,Faible
Jimmy Butler,1234.4545454545455,Élevé
Joakim Noah,369.5,Moyen
Jock Landale,360.5,Moyen
Jodie Meeks,482.4285714285714,Moyen
Joe Chealey,2.0,
Joe Harris,571.7777777777778,Élevé
Joe Ingles,601.2222222222222,Élevé
Joe Johnson,807.1428571428571,Élevé
Joe Wieskamp,35.0,
Joe Young,143.0,Faible
Joel Anthony,49.0,Faible
Joel Ayayi,2.0,
Joel Bolomboy,15.5,
Joel Embiid,1531.142857142857,Élevé
Joel Freeland,159.0,Faible
Joel Przybilla,2.0,
Joey Dorsey,184.0,Faible
Joffrey Lauvergne,289.75,Moyen
Johan Petro,108.0,Faible
John Butler Jr.,45.0,
John Collins,961.3333333333334,Élevé
John Henson,422.875,Moyen
John Holland,27.0,
John Jenkins,142.5,Faible
John Konchar,237.75,Moyen
John Lucas III,148.0,Faible
John Salmons,372.3333333333333,Moyen
John Wall,1097.888888888889,Élevé
Johnathan Motley,75.33333333333333,Faible
Johnathan Williams,101.0,Faible
Johnny Davis,163.0,Faible
Johnny Juzang,87.0,Faible
Johnny O'Bryant III,127.25,Faible
Jon Leuer,311.0,Moyen
Jon Teske,0.0,
Jonah Bolden,108.5,Faible
Jonas Jerebko,374.57142857142856,Moyen
Jonas Valanciunas,948.5454545454544,Élevé
Jonathan Gibson,70.0,Faible
Jonathan Isaac,331.0,Moyen
Jonathan Kuminga,659.0,Élevé
Jonathon Simmons,535.5,Élevé
Jontay Porter,22.0,
Jordan Adams,50.5,Faible
Jordan Bell,118.6,Faible
Jordan Bone,34.0,
Jordan Clarkson,1165.2222222222222,Élevé
Jordan Crawford,501.0,Élevé
Jordan Farmar,176.25,Faible
Jordan Goodwin,203.5,Faible
Jordan Hall,28.0,
Jordan Hamilton,193.75,Faible
Jordan Hill,477.6,Moyen
Jordan Loyd,29.0,
Jordan McLaughlin,219.75,Moyen
Jordan McRae,211.5,Moyen
Jordan Mickey,50.66666666666666,Faible
Jordan Nwora,400.0,Moyen
Jordan Poole,1048.75,Élevé
Jordan Schakel,4.0,
Jordan Sibert,3.0,
Jorge Gutierrez,45.66666666666666,
Jose Alvarado,440.0,Moyen
Jose Calderon,455.1428571428572,Moyen
Josh Akognon,5.0,
Josh Childress,7.0,
Josh Christopher,479.5,Moyen
Josh Giddey,967.0,Élevé
Josh Gray,17.0,
Josh Green,322.0,Moyen
Josh Hall,86.0,Faible
Josh Harrellson,51.5,Faible
Josh Hart,610.1666666666666,Élevé
Josh Howard,74.0,Faible
Josh Huestis,62.333333333333336,Faible
Josh Jackson,655.2,Élevé
Josh Magette,29.0,
Josh McRoberts,231.83333333333331,Moyen
Josh Minott,46.0,
Josh Okogie,416.2,Moyen
Josh Powell,4.0,
Josh Reaves,8.0,
Josh Richardson,740.5,Élevé
Josh Selby,20.0,
Josh Smith,790.4,Élevé
Joshua Primo,158.0,Faible
Jrue Holiday,1115.0,Élevé
Juan Toscano-Anderson,205.75,Faible
Juancho Hernangomez,244.42857142857144,Moyen
Julian Champagnie,165.0,Faible
Julian Washburn,40.0,
Julius Randle,1236.3333333333333,Élevé
Julyan Stone,14.666666666666666,
Justin Anderson,214.0,Moyen
