Player,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Tyson Chandler,54.5,25.25,29.25,1408.925,414.5,158.875,251.0,64.89999999999999,0.0,0.375,0.0,96.75,144.75,63.400000000000006,162.625,337.625,500.25,49.375,66.25,29.0,44.375,127.625,1242.75,13.25,0.0,-27.875
Tyus Jones,66.875,35.25,31.625,1289.7,453.625,175.125,401.875,42.8,52.5,147.0,34.8125,50.875,62.375,80.9875,16.375,108.5,124.875,263.5,50.0,65.875,4.875,51.25,1160.875,2.25,0.125,36.5
Udoka Azubuike,22.666666666666668,13.666666666666666,9.0,203.53333333333333,73.66666666666667,33.333333333333336,43.333333333333336,67.26666666666667,0.0,0.0,0.0,7.0,13.666666666666666,56.5,17.666666666666668,50.0,67.66666666666667,3.6666666666666665,11.0,2.6666666666666665,10.0,22.666666666666668,187.33333333333334,0.3333333333333333,0.0,-48.0
Udonis Haslem,25.90909090909091,17.0,8.909090909090908,345.40909090909093,83.81818181818181,35.27272727272727,76.45454545454545,45.61818181818182,0.8181818181818182,5.2727272727272725,12.29090909090909,12.454545454545455,18.363636363636363,64.83636363636364,22.09090909090909,72.27272727272727,94.36363636363636,11.727272727272727,12.272727272727273,6.818181818181818,4.636363636363637,41.45454545454545,236.8181818181818,0.45454545454545453,0.0,-11.727272727272727
Usman Garuba,49.5,11.5,38.0,604.7,136.5,52.5,110.5,45.900000000000006,14.5,39.5,32.85,17.0,27.0,66.55000000000001,70.5,124.5,195.0,40.5,26.5,27.0,20.0,81.5,545.5,0.0,0.0,-110.0
Vander Blue,3.3333333333333335,0.6666666666666666,2.6666666666666665,44.43333333333334,10.0,4.0,13.0,33.333333333333336,0.6666666666666666,4.333333333333333,6.666666666666667,1.3333333333333333,4.0,36.666666666666664,0.6666666666666666,3.6666666666666665,4.333333333333333,4.0,3.6666666666666665,1.3333333333333333,0.0,2.3333333333333335,21.666666666666668,0.0,0.0,-5.666666666666667
Vernon Carey Jr.,12.333333333333334,6.666666666666667,5.666666666666667,62.43333333333334,24.0,9.0,19.0,42.93333333333334,0.3333333333333333,2.3333333333333335,4.766666666666667,5.666666666666667,8.666666666666666,76.0,5.666666666666667,11.0,16.666666666666668,1.6666666666666667,3.3333333333333335,1.6666666666666667,2.6666666666666665,7.333333333333333,56.0,0.0,0.0,-22.0
Viacheslav Kravtsov,22.5,10.5,12.0,141.6,48.5,20.5,30.5,62.5,0.0,0.0,0.0,7.5,22.5,39.85,16.5,14.5,31.0,5.0,10.0,2.5,5.0,19.5,106.0,0.5,0.0,-33.5
Vic Law,8.0,2.0,6.0,61.9,15.0,6.0,18.0,33.3,1.0,7.0,14.3,2.0,6.0,33.3,2.0,9.0,11.0,3.0,2.0,2.0,0.0,6.0,37.0,0.0,0.0,-7.0
Victor Claver,26.666666666666668,12.666666666666666,14.0,357.26666666666665,86.0,33.333333333333336,83.66666666666667,41.56666666666667,11.333333333333334,38.666666666666664,33.300000000000004,8.0,13.666666666666666,45.866666666666674,14.333333333333334,45.0,59.333333333333336,18.666666666666668,19.333333333333332,10.0,5.333333333333333,34.333333333333336,212.0,0.0,0.0,-21.333333333333332
